,province,totalpop,workageshare,year
1,10,5584963,0.768719792,1996
2,11,948233,0.785915601,1996
3,12,783584,0.734459,1996
4,13,550920,0.725985779,1996
5,14,714656,0.666361615,1996
6,15,288037,0.661874369,1996
7,16,749487,0.675878065,1996
8,17,225003,0.635552083,1996
9,18,351590,0.662393169,1996
10,19,577768,0.692666456,1996
11,20,1009041,0.719714653,1996
12,21,490137,0.708186068,1996
13,22,479104,0.69052875,1996
14,23,210054,0.673278369,1996
15,24,621875,0.694601488,1996
16,25,432251,0.632209881,1996
17,26,239884,0.662493982,1996
18,27,515453,0.623509109,1996
19,30,2494516,0.670137245,1996
20,31,1476984,0.646687027,1996
21,32,1359549,0.642320213,1996
22,33,1410002,0.63473033,1996
23,34,1717172,0.633852364,1996
24,35,546966,0.653540728,1996
25,36,1103170,0.665139698,1996
26,37,357334,0.648462479,1996
27,39,481725,0.614500731,1996
28,40,1672399,0.660301028,1996
29,41,1470888,0.665156029,1996
30,42,626566,0.672370823,1996
31,43,881098,0.657215576,1996
32,44,919615,0.68676659,1996
33,45,1302422,0.643334967,1996
34,46,968715,0.665283017,1996
35,47,1067868,0.679465757,1996
36,48,696620,0.644840267,1996
37,49,322591,0.626077158,1996
38,50,1564438,0.703829111,1996
39,51,406064,0.721118299,1996
40,52,804695,0.697211856,1996
41,53,479642,0.674483702,1996
42,54,494192,0.688612264,1996
43,55,480771,0.676187558,1996
44,56,517850,0.670931811,1996
45,57,1253202,0.691239932,1996
46,58,226922,0.650297552,1996
47,60,1124270,0.660209266,1996
48,61,326997,0.661588672,1996
49,62,745751,0.659087513,1996
50,63,461508,0.686087967,1996
51,64,616243,0.675038746,1996
52,65,853890,0.673454575,1996
53,66,597202,0.6640995,1996
54,67,1032662,0.677939916,1996
55,70,807164,0.688529019,1996
56,71,756528,0.667935355,1996
57,72,847867,0.668883618,1996
58,73,742232,0.720031689,1996
59,74,399072,0.734129105,1996
60,75,207535,0.672342021,1996
61,76,450040,0.679595482,1996
62,77,463132,0.678027172,1996
63,80,1503156,0.631638379,1996
64,81,338845,0.652748506,1996
65,82,227914,0.645573065,1996
66,83,214633,0.73710009,1996
67,84,843111,0.656148512,1996
68,85,147381,0.668428459,1996
69,86,439996,0.664175063,1996
70,90,1166519,0.679433558,1996
71,91,250477,0.637394785,1996
72,92,564660,0.652104377,1996
73,93,494745,0.657906911,1996
74,94,582120,0.626987089,1996
75,95,402558,0.666439553,1996
76,96,631958,0.616297834,1996
77,10,5823490,0.674636515,2001
78,11,1020424,0.693506817,2001
79,12,891177,0.709766971,2001
80,13,682961,0.70541949,2001
81,14,743517,0.670966501,2001
82,15,290127,0.683679906,2001
83,16,768797,0.686501118,2001
84,17,223777,0.690835072,2001
85,18,351680,0.699018995,2001
86,19,615573,0.642112308,2001
87,20,1116879,0.664363821,2001
88,21,538233,0.644369632,2001
89,22,501311,0.651787014,2001
90,23,225360,0.646964856,2001
91,24,646547,0.672586834,2001
92,25,450481,0.666452081,2001
93,26,250802,0.676226665,2001
94,27,536708,0.680444488,2001
95,30,2589157,0.678146594,2001
96,31,1537888,0.673075022,2001
97,32,1395661,0.675191898,2001
98,33,1455133,0.688047072,2001
99,34,1784714,0.667642547,2001
100,35,553657,0.699093482,2001
101,36,1134632,0.69389811,2001
102,37,368825,0.692512709,2001
103,39,497887,0.703004899,2001
104,40,1762029,0.703721675,2001
105,41,1540932,0.692569172,2001
106,42,633348,0.675161207,2001
107,43,907164,0.68521899,2001
108,44,942488,0.714086545,2001
109,45,1322407,0.707810077,2001
110,46,987800,0.700752177,2001
111,47,1104081,0.701048202,2001
112,48,720583,0.671263408,2001
113,49,336353,0.684625973,2001
114,50,1611046,0.661987926,2001
115,51,406867,0.711404464,2001
116,52,803254,0.703571971,2001
117,53,485052,0.702248419,2001
118,54,487304,0.723730977,2001
119,55,487722,0.688859637,2001
120,56,510377,0.707798353,2001
121,57,1266211,0.620311307,2001
122,58,237310,0.567308584,2001
123,60,1133397,0.671723147,2001
124,61,334565,0.684443979,2001
125,62,769256,0.664799495,2001
126,63,499945,0.592165138,2001
127,64,625577,0.705368004,2001
128,65,879623,0.682503754,2001
129,66,593668,0.671565589,2001
130,67,1041316,0.676708127,2001
131,70,828474,0.659278384,2001
132,71,795534,0.630216936,2001
133,72,862884,0.678654373,2001
134,73,797511,0.679563041,2001
135,74,437864,0.674325818,2001
136,75,204939,0.654750926,2001
137,76,459370,0.670607571,2001
138,77,483683,0.671375674,2001
139,80,1533063,0.658239746,2001
140,81,372429,0.649345244,2001
141,82,237868,0.672499033,2001
142,83,262300,0.679565383,2001
143,84,923721,0.650809065,2001
144,85,162487,0.644703884,2001
145,86,469732,0.668791992,2001
146,90,1261572,0.652439972,2001
147,91,267437,0.645516514,2001
148,92,597679,0.651240883,2001
149,93,503913,0.672246995,2001
150,94,619163,0.60515244,2001
151,95,451935,0.596831403,2001
152,96,690430,0.610137161,2001
153,10,5906025,0.671947714,2002
154,11,1042165,0.690019335,2002
155,12,916675,0.705136499,2002
156,13,714435,0.703792507,2002
157,14,750842,0.669937217,2002
158,15,291495,0.681740682,2002
159,16,773444,0.68528814,2002
160,17,224403,0.688609332,2002
161,18,351737,0.697035001,2002
162,19,623964,0.64113154,2002
163,20,1146270,0.663006098,2002
164,21,549167,0.647768347,2002
165,22,508115,0.654277083,2002
166,23,226188,0.647854882,2002
167,24,653454,0.67132652,2002
168,25,455711,0.667038979,2002
169,26,252081,0.67840099,2002
170,27,542023,0.682376947,2002
171,30,2613036,0.677551323,2002
172,31,1552113,0.673606239,2002
173,32,1404696,0.674105287,2002
174,33,1464601,0.68833696,2002
175,34,1799653,0.668714469,2002
176,35,555328,0.700479716,2002
177,36,1142188,0.69696845,2002
178,37,371304,0.693768448,2002
179,39,500807,0.702603997,2002
180,40,1776594,0.703277733,2002
181,41,1553330,0.693134105,2002
182,42,636852,0.677414847,2002
183,43,914436,0.684289551,2002
184,44,946858,0.714001466,2002
185,45,1328120,0.708176219,2002
186,46,993844,0.702121258,2002
187,47,1111559,0.701368079,2002
188,48,723673,0.671427565,2002
189,49,338943,0.686634626,2002
190,50,1609271,0.662361405,2002
191,51,408456,0.712106078,2002
192,52,803486,0.704358259,2002
193,53,486594,0.700713531,2002
194,54,486469,0.724590878,2002
195,55,488500,0.692610031,2002
196,56,510497,0.708415524,2002
197,57,1278542,0.621583804,2002
198,58,240478,0.567498898,2002
199,60,1138032,0.670946863,2002
200,61,337239,0.684081616,2002
201,62,771530,0.666543103,2002
202,63,508860,0.591541878,2002
203,64,627522,0.70441355,2002
204,65,880961,0.681312794,2002
205,66,595372,0.669237048,2002
206,67,1048590,0.675406021,2002
207,70,835204,0.661270779,2002
208,71,806754,0.630430094,2002
209,72,868192,0.678999576,2002
210,73,809404,0.680059649,2002
211,74,446353,0.672875504,2002
212,75,205849,0.657894865,2002
213,76,461876,0.672498679,2002
214,77,490018,0.672189593,2002
215,80,1543235,0.659166621,2002
216,81,378931,0.653461976,2002
217,82,239931,0.673968766,2002
218,83,271976,0.677982616,2002
219,84,940644,0.651017813,2002
220,85,164176,0.646184582,2002
221,86,475441,0.668749645,2002
222,90,1286725,0.656608833,2002
223,91,271634,0.647069218,2002
224,92,604623,0.65461949,2002
225,93,505890,0.6752377,2002
226,94,629277,0.603174755,2002
227,95,460794,0.595995174,2002
228,96,700597,0.610934674,2002
229,10,6003888,0.668044607,2003
230,11,1062822,0.689034476,2003
231,12,941437,0.7011526,2003
232,13,744996,0.704618548,2003
233,14,754925,0.670053317,2003
234,15,292390,0.679650467,2003
235,16,776241,0.685055286,2003
236,17,224218,0.687460418,2003
237,18,351119,0.694735973,2003
238,19,628309,0.641251359,2003
239,20,1177661,0.662637211,2003
240,21,560147,0.650745251,2003
241,22,512963,0.658552371,2003
242,23,226586,0.647731987,2003
243,24,657457,0.671796026,2003
244,25,457901,0.668675107,2003
245,26,253367,0.679165006,2003
246,27,545560,0.68366999,2003
247,30,2601793,0.685508417,2003
248,31,1557974,0.672395046,2003
249,32,1414687,0.669266771,2003
250,33,1473773,0.687061033,2003
251,34,1817296,0.665069972,2003
252,35,555067,0.702275581,2003
253,36,1144705,0.692188817,2003
254,37,371969,0.696211243,2003
255,39,503210,0.703652551,2003
256,40,1785085,0.702709395,2003
257,41,1564799,0.692140652,2003
258,42,627941,0.688848156,2003
259,43,917307,0.682484708,2003
260,44,949829,0.712207145,2003
261,45,1331114,0.717122651,2003
262,46,1000408,0.700487201,2003
263,47,1118982,0.69860105,2003
264,48,713211,0.689221002,2003
265,49,339936,0.688806128,2003
266,50,1621677,0.660862798,2003
267,51,410718,0.71280051,2003
268,52,800981,0.705920615,2003
269,53,483893,0.702101498,2003
270,54,483900,0.725255218,2003
271,55,483319,0.701815985,2003
272,56,504212,0.716428804,2003
273,57,1222065,0.649488366,2003
274,58,238939,0.575954532,2003
275,60,1127043,0.676473746,2003
276,61,340617,0.6739417,2003
277,62,778330,0.65893901,2003
278,63,499734,0.608561755,2003
279,64,621688,0.707885628,2003
280,65,884027,0.680007511,2003
281,66,602027,0.655761286,2003
282,67,1063977,0.663455131,2003
283,70,840874,0.662378668,2003
284,71,804183,0.637935644,2003
285,72,871393,0.682478514,2003
286,73,823617,0.678838586,2003
287,74,453015,0.672383917,2003
288,75,204841,0.660775919,2003
289,76,462631,0.673824279,2003
290,77,494747,0.671541212,2003
291,80,1544898,0.660112836,2003
292,81,385081,0.658609487,2003
293,82,241414,0.674940144,2003
294,83,280968,0.678853108,2003
295,84,960424,0.65225567,2003
296,85,165936,0.643091312,2003
297,86,479727,0.669359865,2003
298,90,1300282,0.659823792,2003
299,91,274770,0.650398515,2003
300,92,609519,0.656640728,2003
301,93,506582,0.676603196,2003
302,94,636486,0.605686535,2003
303,95,466672,0.602605256,2003
304,96,709258,0.615211954,2003
305,10,5631321,0.713348431,2004
306,11,1049369,0.712779775,2004
307,12,942312,0.718898836,2004
308,13,770153,0.718146914,2004
309,14,740578,0.69467362,2004
310,15,283009,0.702928175,2004
311,16,749554,0.709333817,2004
312,17,220142,0.69981194,2004
313,18,341617,0.709961741,2004
314,19,596057,0.682886033,2004
315,20,1143056,0.701013774,2004
316,21,544069,0.691498689,2004
317,22,494063,0.697044709,2004
318,23,217973,0.672220871,2004
319,24,643641,0.692991901,2004
320,25,446063,0.693751779,2004
321,26,248618,0.69850936,2004
322,27,536247,0.697208562,2004
323,30,2539614,0.704727175,2004
324,31,1524493,0.690726687,2004
325,32,1371520,0.688237138,2004
326,33,1440449,0.702154675,2004
327,34,1763059,0.690525388,2004
328,35,541363,0.717162052,2004
329,36,1117155,0.710490487,2004
330,37,367546,0.704681863,2004
331,39,494650,0.713906803,2004
332,40,1741859,0.719566854,2004
333,41,1518491,0.714025964,2004
334,42,610517,0.71236018,2004
335,43,895923,0.700538997,2004
336,44,935084,0.725764744,2004
337,45,1310256,0.718306194,2004
338,46,971315,0.723563417,2004
339,47,1101596,0.711346083,2004
340,48,691260,0.703451668,2004
341,49,332569,0.701177801,2004
342,50,1630218,0.660269363,2004
343,51,404774,0.725046569,2004
344,52,779053,0.723333329,2004
345,53,470024,0.717861216,2004
346,54,473399,0.736526693,2004
347,55,477646,0.713229044,2004
348,56,488344,0.731992202,2004
349,57,1214135,0.655315101,2004
350,58,243698,0.568761336,2004
351,60,1077722,0.706208094,2004
352,61,326181,0.705914814,2004
353,62,726561,0.707162922,2004
354,63,515922,0.589465074,2004
355,64,611425,0.717924521,2004
356,65,841542,0.714320854,2004
357,66,560639,0.705066897,2004
358,67,1001300,0.703382603,2004
359,70,815177,0.690007201,2004
360,71,810339,0.644957234,2004
361,72,840329,0.704167058,2004
362,73,797886,0.710231787,2004
363,74,442660,0.698215335,2004
364,75,195302,0.70480589,2004
365,76,451160,0.699634276,2004
366,77,479853,0.695883948,2004
367,80,1500682,0.682740247,2004
368,81,387818,0.671668154,2004
369,82,239165,0.688821525,2004
370,83,285862,0.689455052,2004
371,84,938160,0.679231688,2004
372,85,176399,0.612486465,2004
373,86,472239,0.688052025,2004
374,90,1281514,0.675417514,2004
375,91,273592,0.664270154,2004
376,92,596242,0.678741182,2004
377,93,498345,0.692508202,2004
378,94,629877,0.617982558,2004
379,95,459892,0.623529002,2004
380,96,693999,0.636823684,2004
381,10,5658954,0.711809462,2005
382,11,1077523,0.714036731,2005
383,12,972280,0.719438845,2005
384,13,815402,0.71985352,2005
385,14,746919,0.697743664,2005
386,15,283778,0.702510413,2005
387,16,751951,0.708338708,2005
388,17,217744,0.706673892,2005
389,18,340129,0.709998265,2005
390,19,601937,0.684533431,2005
391,20,1172431,0.704084078,2005
392,21,559134,0.693669138,2005
393,22,498159,0.699876947,2005
394,23,219135,0.672402857,2005
395,24,647610,0.695190006,2005
396,25,449621,0.696139638,2005
397,26,250779,0.702550852,2005
398,27,536976,0.698772385,2005
399,30,2546763,0.706583612,2005
400,31,1531430,0.692976499,2005
401,32,1374698,0.69012103,2005
402,33,1443974,0.704052843,2005
403,34,1774806,0.692033383,2005
404,35,541263,0.719833057,2005
405,36,1116934,0.714533715,2005
406,37,368792,0.707564155,2005
407,39,496656,0.717091911,2005
408,40,1747541,0.722099224,2005
409,41,1523802,0.715465001,2005
410,42,612422,0.714296678,2005
411,43,896099,0.704177775,2005
412,44,936883,0.729225528,2005
413,45,1310674,0.721418141,2005
414,46,973555,0.726470513,2005
415,47,1104106,0.716027265,2005
416,48,693594,0.705303102,2005
417,49,334114,0.70269429,2005
418,50,1650009,0.661261848,2005
419,51,404727,0.730018012,2005
420,52,776725,0.726685764,2005
421,53,469387,0.718290025,2005
422,54,471447,0.739784111,2005
423,55,478080,0.716869562,2005
424,56,486889,0.736118499,2005
425,57,1225057,0.652148431,2005
426,58,253609,0.553959047,2005
427,60,1077807,0.707225876,2005
428,61,326731,0.707266834,2005
429,62,728266,0.709367182,2005
430,63,522197,0.593760592,2005
431,64,610361,0.718959763,2005
432,65,840970,0.717450087,2005
433,66,558794,0.705388748,2005
434,67,1002459,0.705060257,2005
435,70,823495,0.689518455,2005
436,71,826169,0.641225948,2005
437,72,842613,0.705999077,2005
438,73,808960,0.711864616,2005
439,74,452017,0.699568822,2005
440,75,195068,0.706374187,2005
441,76,453982,0.701721654,2005
442,77,486796,0.698095301,2005
443,80,1504420,0.686118238,2005
444,81,395665,0.674873946,2005
445,82,241442,0.690716611,2005
446,83,292245,0.690899759,2005
447,84,947349,0.684647369,2005
448,85,178122,0.617054603,2005
449,86,475763,0.690261748,2005
450,90,1302422,0.677797979,2005
451,91,277865,0.667550789,2005
452,92,602045,0.683312709,2005
453,93,500501,0.693708904,2005
454,94,634374,0.620652801,2005
455,95,464121,0.629120423,2005
456,96,700525,0.64027408,2005
457,10,5695958,0.713044232,2006
458,11,1107626,0.717095843,2006
459,12,999057,0.72075267,2006
460,13,861338,0.723655522,2006
461,14,754595,0.69998741,2006
462,15,283943,0.70232758,2006
463,16,752775,0.710137823,2006
464,17,216969,0.708336214,2006
465,18,339006,0.71122635,2006
466,19,609855,0.686978052,2006
467,20,1209290,0.7059936,2006
468,21,573785,0.697181,2006
469,22,502389,0.702774145,2006
470,23,219949,0.673378829,2006
471,24,654206,0.698474181,2006
472,25,453819,0.698591289,2006
473,26,250003,0.702263573,2006
474,27,538343,0.697845054,2006
475,30,2555585,0.707335111,2006
476,31,1536722,0.695417909,2006
477,32,1375257,0.691516567,2006
478,33,1446482,0.705255233,2006
479,34,1783035,0.694708741,2006
480,35,540888,0.722942642,2006
481,36,1119147,0.715032967,2006
482,37,368934,0.709609307,2006
483,39,496692,0.719371361,2006
484,40,1750496,0.723712593,2006
485,41,1527562,0.717966276,2006
486,42,613303,0.713950527,2006
487,43,899580,0.705554814,2006
488,44,937686,0.731444215,2006
489,45,1310047,0.724177835,2006
490,46,975561,0.729311647,2006
491,47,1109045,0.71929002,2006
492,48,695351,0.707449907,2006
493,49,335447,0.705038352,2006
494,50,1658298,0.667846792,2006
495,51,405564,0.735627423,2006
496,52,773790,0.731053645,2006
497,53,467482,0.718838372,2006
498,54,468373,0.743185453,2006
499,55,477662,0.720432021,2006
500,56,486219,0.740094484,2006
501,57,1225713,0.660415611,2006
502,58,255172,0.558395906,2006
503,60,1076015,0.705568231,2006
504,61,326988,0.707772151,2006
505,62,728320,0.708909545,2006
506,63,527677,0.594477303,2006
507,64,608820,0.720191518,2006
508,65,844508,0.719576369,2006
509,66,557831,0.706880758,2006
510,67,1002317,0.706036114,2006
511,70,828931,0.693374961,2006
512,71,834447,0.645139835,2006
513,72,843904,0.706782999,2006
514,73,821905,0.714766305,2006
515,74,462510,0.702311301,2006
516,75,194990,0.707779886,2006
517,76,456681,0.704566207,2006
518,77,494417,0.701440282,2006
519,80,1510460,0.687956649,2006
520,81,403363,0.678091446,2006
521,82,245394,0.692164438,2006
522,83,300737,0.693443108,2006
523,84,960698,0.686955734,2006
524,85,179850,0.620839589,2006
525,86,478964,0.691642796,2006
526,90,1317500,0.679147628,2006
527,91,281545,0.669313964,2006
528,92,607450,0.685997201,2006
529,93,503321,0.69546075,2006
530,94,635730,0.622058106,2006
531,95,468252,0.630961534,2006
532,96,707171,0.6396402,2006
533,10,5716248,0.713585905,2007
534,11,1126940,0.721177702,2007
535,12,1024191,0.724171566,2007
536,13,896843,0.725092352,2007
537,14,760712,0.703295071,2007
538,15,284406,0.702386729,2007
539,16,749821,0.707870278,2007
540,17,215653,0.707136001,2007
541,18,337147,0.708240026,2007
542,19,615756,0.688319724,2007
543,20,1233446,0.708986855,2007
544,21,583470,0.704236722,2007
545,22,504003,0.708809273,2007
546,23,220543,0.671723882,2007
547,24,658966,0.703476355,2007
548,25,454988,0.700631665,2007
549,26,248496,0.707629097,2007
550,27,539137,0.697998839,2007
551,30,2552894,0.708727429,2007
552,31,1536070,0.697565866,2007
553,32,1372672,0.689295768,2007
554,33,1443011,0.703487361,2007
555,34,1785709,0.684734747,2007
556,35,539542,0.72536151,2007
557,36,1119597,0.711582828,2007
558,37,368915,0.712408007,2007
559,39,497603,0.718609012,2007
560,40,1752414,0.726246766,2007
561,41,1530686,0.717108538,2007
562,42,615538,0.714969669,2007
563,43,902618,0.706837222,2007
564,44,936005,0.732672368,2007
565,45,1308589,0.726769062,2007
566,46,977508,0.73175974,2007
567,47,1113064,0.720844444,2007
568,48,697105,0.709141378,2007
569,49,336107,0.706162026,2007
570,50,1664399,0.669613476,2007
571,51,405157,0.737175959,2007
572,52,770613,0.733266893,2007
573,53,465277,0.720355831,2007
574,54,465876,0.744552198,2007
575,55,477381,0.72383903,2007
576,56,486579,0.74275092,2007
577,57,1225013,0.66360357,2007
578,58,254804,0.558904099,2007
579,60,1073683,0.704475157,2007
580,61,326975,0.706763514,2007
581,62,725994,0.709616057,2007
582,63,530928,0.593005078,2007
583,64,605301,0.720843019,2007
584,65,841683,0.723252103,2007
585,66,554740,0.710664455,2007
586,67,997531,0.710023047,2007
587,70,831438,0.696648457,2007
588,71,835282,0.646105148,2007
589,72,842584,0.709542313,2007
590,73,830970,0.717023479,2007
591,74,469934,0.706284287,2007
592,75,194212,0.711768583,2007
593,76,456061,0.708280252,2007
594,77,494588,0.701298859,2007
595,80,1506997,0.690421414,2007
596,81,410634,0.680031366,2007
597,82,246887,0.690988185,2007
598,83,315498,0.699855467,2007
599,84,970424,0.691144283,2007
600,85,180787,0.624303739,2007
601,86,481298,0.695097424,2007
602,90,1324915,0.681599197,2007
603,91,284482,0.672109307,2007
604,92,610332,0.689940885,2007
605,93,502563,0.69861291,2007
606,94,637806,0.621660818,2007
607,95,470691,0.632232186,2007
608,96,711517,0.638700129,2007
609,10,5710883,0.716024475,2008
610,11,1147224,0.722375927,2008
611,12,1052592,0.724807903,2008
612,13,929250,0.72652354,2008
613,14,769126,0.703503717,2008
614,15,284831,0.702879953,2008
615,16,753801,0.707132254,2008
616,17,215551,0.706700502,2008
617,18,335952,0.707854098,2008
618,19,621640,0.689711087,2008
619,20,1264687,0.708474113,2008
620,21,598664,0.702323841,2008
621,22,508020,0.709015393,2008
622,23,221827,0.672753993,2008
623,24,664830,0.704080742,2008
624,25,459379,0.70023227,2008
625,26,250753,0.708362412,2008
626,27,541425,0.698833633,2008
627,30,2565117,0.710534841,2008
628,31,1541650,0.698185061,2008
629,32,1375560,0.691655035,2008
630,33,1441412,0.704140801,2008
631,34,1795453,0.69560551,2008
632,35,539284,0.72744973,2008
633,36,1122647,0.713887803,2008
634,37,369476,0.714552501,2008
635,39,499520,0.720661835,2008
636,40,1756101,0.7275282,2008
637,41,1535629,0.71807318,2008
638,42,618423,0.71575281,2008
639,43,906877,0.706003129,2008
640,44,936854,0.7332626,2008
641,45,1307212,0.727783252,2008
642,46,978583,0.732366084,2008
643,47,1116034,0.720248666,2008
644,48,699364,0.710216711,2008
645,49,337497,0.708504076,2008
646,50,1670317,0.673275193,2008
647,51,405125,0.739606294,2008
648,52,767615,0.73631052,2008
649,53,464205,0.719279198,2008
650,54,463477,0.745396212,2008
651,55,475984,0.727873206,2008
652,56,487386,0.746619722,2008
653,57,1227317,0.669224007,2008
654,58,252692,0.569562946,2008
655,60,1074239,0.703390959,2008
656,61,327586,0.704013603,2008
657,62,726213,0.705739225,2008
658,63,538330,0.595640221,2008
659,64,603817,0.720753142,2008
660,65,843995,0.720671331,2008
661,66,554112,0.70971753,2008
662,67,996231,0.708726189,2008
663,70,835861,0.697904317,2008
664,71,840905,0.646609308,2008
665,72,844498,0.708189954,2008
666,73,843599,0.719904836,2008
667,74,478146,0.707737804,2008
668,75,194054,0.711183485,2008
669,76,458975,0.708178005,2008
670,77,500378,0.701963316,2008
671,80,1513163,0.690025463,2008
672,81,418705,0.681186038,2008
673,82,249933,0.692569609,2008
674,83,327006,0.700705797,2008
675,84,983486,0.69162347,2008
676,85,182729,0.626134877,2008
677,86,484722,0.695565706,2008
678,90,1335768,0.682039845,2008
679,91,288409,0.672808408,2008
680,92,614869,0.692375124,2008
681,93,505129,0.698100881,2008
682,94,642169,0.623069628,2008
683,95,475527,0.634868262,2008
684,96,719930,0.63887878,2008
685,10,5702595,0.71899074,2009
686,11,1164105,0.726705924,2009
687,12,1078071,0.727880631,2009
688,13,956376,0.730360235,2009
689,14,775157,0.708213949,2009
690,15,284807,0.707345676,2009
691,16,754452,0.710164464,2009
692,17,215299,0.710119415,2009
693,18,335420,0.712184724,2009
694,19,612707,0.707922384,2009
695,20,1289590,0.710750704,2009
696,21,612095,0.704877511,2009
697,22,511246,0.712158139,2009
698,23,220008,0.686243228,2009
699,24,668983,0.706840084,2009
700,25,461854,0.704129444,2009
701,26,251683,0.711037297,2009
702,27,542451,0.702640423,2009
703,30,2571292,0.714670679,2009
704,31,1546784,0.702332711,2009
705,32,1377827,0.696201337,2009
706,33,1446345,0.708575755,2009
707,34,1803754,0.701725402,2009
708,35,539134,0.731053875,2009
709,36,1125166,0.717289715,2009
710,37,370804,0.719638947,2009
711,39,500913,0.724505054,2009
712,40,1762242,0.730449053,2009
713,41,1538940,0.721967718,2009
714,42,620780,0.718351107,2009
715,43,907250,0.710996969,2009
716,44,939090,0.736238273,2009
717,45,1308159,0.731645771,2009
718,46,980158,0.735064143,2009
719,47,1118449,0.723139812,2009
720,48,700690,0.714417217,2009
721,49,338048,0.71449025,2009
722,50,1632548,0.695172822,2009
723,51,404693,0.744035602,2009
724,52,764498,0.74186852,2009
725,53,462951,0.722257863,2009
726,54,462090,0.749222013,2009
727,55,475614,0.73266136,2009
728,56,487120,0.752635901,2009
729,57,1194933,0.696588846,2009
730,58,241847,0.608984192,2009
731,60,1072868,0.707094442,2009
732,61,327871,0.707076869,2009
733,62,726846,0.709946811,2009
734,63,519662,0.628121741,2009
